ID	Data + units	Time
6	-0.319200, 1.938000, 0.083600 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.069459087s
6	-0.410400, 1.938000, 0.129200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.072576661s
6	-0.433200, 1.938000, 0.144400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.075694235s
6	-0.395200, 1.938000, 0.121600 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.078811809s
6	-0.326800, -0.007600, 0.060800 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.081929383s
6	-0.266000, -0.007600, 0.007600 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.085046957s
6	-0.212800, -0.007600, 0.000000 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.088164531s
6	-0.129200, 1.938000, 0.015200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.091282105s
6	-0.022800, 1.938000, 0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.094399679s
6	0.060800, 0.000000, 0.053200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.097517253s
6	0.083600, 0.000000, 0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.100634827s
6	0.060800, 0.000000, 0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.103752401s
6	0.015200, 0.000000, 0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.106869975s
6	-0.030400, 1.938000, -0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.109987549s
6	-0.083600, 1.938000, -0.121600 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.113105123s
6	-0.129200, 1.938000, -0.190000 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.116222697s
6	-0.159600, 1.938000, -0.197600 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.119340271s
6	-0.212800, 1.938000, -0.136800 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.122457845s
6	-0.205200, -0.007600, 0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.125575419s
6	-0.144400, -0.007600, 0.174800 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.128692993s
6	-0.022800, -0.007600, 0.281200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.131810567s
6	0.007600, -1.945600, 0.266000 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.134928141s
6	-0.015200, 1.938000, 0.205200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.138045715s
6	-0.098800, 1.938000, 0.106400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.141163289s
6	-0.144400, 1.938000, 0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.144280863s
6	-0.159600, 1.938000, 0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.147398437s
6	-0.182400, 1.938000, 0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.150516011s
6	-0.182400, 1.938000, 0.060800 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.153633585s
6	-0.159600, 1.938000, 0.060800 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.156751159s
6	-0.114000, 1.938000, 0.053200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.159868733s
6	-0.083600, 1.938000, 0.068400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.162986307s
6	-0.068400, 1.938000, 0.076000 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.166103881s
