ID	Data + units	Time
7	-0.040950, 0.044850, 0.994500 X G, Y G, Z G	At T: 1540595022.775468598s
7	-0.037050, 0.044850, 0.982800 X G, Y G, Z G	At T: 1540595022.785874632s
7	-0.035100, 0.048750, 0.982800 X G, Y G, Z G	At T: 1540595022.796280666s
7	-0.037050, 0.042900, 0.986700 X G, Y G, Z G	At T: 1540595022.806686700s
7	-0.037050, 0.044850, 0.984750 X G, Y G, Z G	At T: 1540595022.817092734s
7	-0.040950, 0.040950, 0.982800 X G, Y G, Z G	At T: 1540595022.827498768s
7	-0.042900, 0.046800, 0.976950 X G, Y G, Z G	At T: 1540595022.837904802s
7	-0.042900, 0.040950, 0.986700 X G, Y G, Z G	At T: 1540595022.848310836s
7	-0.042900, 0.048750, 0.988650 X G, Y G, Z G	At T: 1540595022.858716870s
7	-0.040950, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595022.869122904s
7	-0.042900, 0.042900, 0.980850 X G, Y G, Z G	At T: 1540595022.879528938s
7	-0.042900, 0.046800, 0.996450 X G, Y G, Z G	At T: 1540595022.889934972s
7	-0.046800, 0.046800, 0.992550 X G, Y G, Z G	At T: 1540595022.900341006s
7	-0.044850, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595022.910747040s
7	-0.046800, 0.046800, 0.992550 X G, Y G, Z G	At T: 1540595022.921153074s
7	-0.042900, 0.039000, 0.963300 X G, Y G, Z G	At T: 1540595022.931559108s
7	-0.044850, 0.035100, 0.992550 X G, Y G, Z G	At T: 1540595022.941965142s
7	-0.042900, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595022.952371176s
7	-0.040950, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595022.962777210s
7	-0.044850, 0.035100, 0.988650 X G, Y G, Z G	At T: 1540595022.973183244s
7	-0.040950, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595022.983589278s
7	-0.044850, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595022.993995312s
7	-0.040950, 0.040950, 0.992550 X G, Y G, Z G	At T: 1540595023.004401346s
7	-0.037050, 0.042900, 0.980850 X G, Y G, Z G	At T: 1540595023.014807380s
7	-0.042900, 0.035100, 0.988650 X G, Y G, Z G	At T: 1540595023.025213414s
7	-0.039000, 0.040950, 0.982800 X G, Y G, Z G	At T: 1540595024.005422979s
7	-0.042900, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595024.015037395s
7	-0.042900, 0.042900, 0.984750 X G, Y G, Z G	At T: 1540595024.024651811s
7	-0.037050, 0.037050, 0.988650 X G, Y G, Z G	At T: 1540595024.034266227s
7	-0.042900, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595024.043880643s
7	-0.042900, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595024.053495059s
7	-0.044850, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595024.063109475s
7	-0.046800, 0.042900, 0.994500 X G, Y G, Z G	At T: 1540595024.072723891s
7	-0.044850, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595024.082338307s
7	-0.042900, 0.033150, 0.969150 X G, Y G, Z G	At T: 1540595024.091952723s
7	-0.046800, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595024.101567139s
7	-0.044850, 0.044850, 0.996450 X G, Y G, Z G	At T: 1540595024.111181555s
7	-0.046800, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595024.120795971s
7	-0.039000, 0.044850, 0.984750 X G, Y G, Z G	At T: 1540595024.130410387s
